"time_seconds","time_minutes","Q_m3_s"
4070,67.8333333333333,29.11
4075,67.9166666666667,28.89
4080,68,28.67
4085,68.0833333333333,28.45
4090,68.1666666666667,28.23
4095,68.25,28.02
4100,68.3333333333333,27.8
4105,68.4166666666667,27.59
4110,68.5,27.38
4115,68.5833333333333,27.17
4120,68.6666666666667,26.96
4125,68.75,26.76
4130,68.8333333333333,26.55
4135,68.9166666666667,26.35
4140,69,26.15
4145,69.0833333333333,25.95
4150,69.1666666666667,25.75
4155,69.25,25.55
4160,69.3333333333333,25.36
4165,69.4166666666667,25.16
4170,69.5,24.97
4175,69.5833333333333,24.78
4180,69.6666666666667,24.59
4185,69.75,24.4
4190,69.8333333333333,24.21
4195,69.9166666666667,24.03
4200,70,23.84
4205,70.0833333333333,23.66
4210,70.1666666666667,23.48
4215,70.25,23.3
4220,70.3333333333333,23.12
4225,70.4166666666667,22.94
4230,70.5,22.76
4235,70.5833333333333,22.59
4240,70.6666666666667,22.41
4245,70.75,22.24
4250,70.8333333333333,22.07
4255,70.9166666666667,21.9
4260,71,21.73
4265,71.0833333333333,21.56
4270,71.1666666666667,21.4
4275,71.25,21.23
4280,71.3333333333333,21.07
4285,71.4166666666667,20.91
4290,71.5,20.75
4295,71.5833333333333,20.59
4300,71.6666666666667,20.43
4305,71.75,20.27
4310,71.8333333333333,20.11
4315,71.9166666666667,19.96
4320,72,19.8
4325,72.0833333333333,19.65
4330,72.1666666666667,19.5
4335,72.25,19.35
4340,72.3333333333333,19.2
4345,72.4166666666667,19.05
4350,72.5,18.9
4355,72.5833333333333,18.75
4360,72.6666666666667,18.61
4365,72.75,18.47
4370,72.8333333333333,18.32
4375,72.9166666666667,18.18
4380,73,18.04
4385,73.0833333333333,17.9
4390,73.1666666666667,17.76
4395,73.25,17.62
4400,73.3333333333333,17.49
4405,73.4166666666667,17.35
4410,73.5,17.22
4415,73.5833333333333,17.08
4420,73.6666666666667,16.95
4425,73.75,16.82
4430,73.8333333333333,16.69
4435,73.9166666666667,16.56
4440,74,16.43
4445,74.0833333333333,16.3
4450,74.1666666666667,16.17
4455,74.25,16.05
4460,74.3333333333333,15.92
4465,74.4166666666667,15.8
4470,74.5,15.68
4475,74.5833333333333,15.55
4480,74.6666666666667,15.43
4485,74.75,15.31
4490,74.8333333333333,15.19
4495,74.9166666666667,15.08
4500,75,14.96
4505,75.0833333333333,14.84
4510,75.1666666666667,14.73
4515,75.25,14.61
4520,75.3333333333333,14.5
4525,75.4166666666667,14.38
4530,75.5,14.27
4535,75.5833333333333,14.16
4540,75.6666666666667,14.05
4545,75.75,13.94
4550,75.8333333333333,13.83
4555,75.9166666666667,13.72
4560,76,13.62
4565,76.0833333333333,13.51
4570,76.1666666666667,13.4
4575,76.25,13.3
4580,76.3333333333333,13.19
4585,76.4166666666667,13.09
4590,76.5,12.99
4595,76.5833333333333,12.89
4600,76.6666666666667,12.79
4605,76.75,12.69
4610,76.8333333333333,12.59
4615,76.9166666666667,12.49
4620,77,12.39
4625,77.0833333333333,12.29
4630,77.1666666666667,12.2
4635,77.25,12.1
4640,77.3333333333333,12.01
4645,77.4166666666667,11.91
4650,77.5,11.82
4655,77.5833333333333,11.73
4660,77.6666666666667,11.63
4665,77.75,11.54
4670,77.8333333333333,11.45
4675,77.9166666666667,11.36
4680,78,11.27
4685,78.0833333333333,11.18
4690,78.1666666666667,11.1
4695,78.25,11.01
4700,78.3333333333333,10.92
4705,78.4166666666667,10.84
4710,78.5,10.75
4715,78.5833333333333,10.67
4720,78.6666666666667,10.58
4725,78.75,10.5
4730,78.8333333333333,10.42
4735,78.9166666666667,10.33
4740,79,10.25
4745,79.0833333333333,10.17
4750,79.1666666666667,10.09
4755,79.25,10.01
4760,79.3333333333333,9.93
4765,79.4166666666667,9.85
4770,79.5,9.78
4775,79.5833333333333,9.7
4780,79.6666666666667,9.62
4785,79.75,9.55
4790,79.8333333333333,9.47
4795,79.9166666666667,9.4
4800,80,9.32
4805,80.0833333333333,9.25
4810,80.1666666666667,9.18
4815,80.25,9.1
4820,80.3333333333333,9.03
4825,80.4166666666667,8.96
4830,80.5,8.89
4835,80.5833333333333,8.82
4840,80.6666666666667,8.75
4845,80.75,8.68
4850,80.8333333333333,8.61
4855,80.9166666666667,8.54
4860,81,8.48
4865,81.0833333333333,8.41
4870,81.1666666666667,8.34
4875,81.25,8.28
4880,81.3333333333333,8.21
4885,81.4166666666667,8.14
4890,81.5,8.08
4895,81.5833333333333,8.02
4900,81.6666666666667,7.95
4905,81.75,7.89
4910,81.8333333333333,7.83
4915,81.9166666666667,7.76
4920,82,7.7
4925,82.0833333333333,7.64
4930,82.1666666666667,7.58
4935,82.25,7.52
4940,82.3333333333333,7.46
4945,82.4166666666667,7.4
4950,82.5,7.34
4955,82.5833333333333,7.29
4960,82.6666666666667,7.23
4965,82.75,7.17
4970,82.8333333333333,7.11
4975,82.9166666666667,7.06
4980,83,7
4985,83.0833333333333,6.94
4990,83.1666666666667,6.89
4995,83.25,6.83
5000,83.3333333333333,6.78
5005,83.4166666666667,6.73
5010,83.5,6.67
5015,83.5833333333333,6.62
5020,83.6666666666667,6.57
5025,83.75,6.51
5030,83.8333333333333,6.46
5035,83.9166666666667,6.41
5040,84,6.36
5045,84.0833333333333,6.31
5050,84.1666666666667,6.26
5055,84.25,6.21
5060,84.3333333333333,6.16
5065,84.4166666666667,6.11
5070,84.5,6.06
5075,84.5833333333333,6.01
5080,84.6666666666667,5.96
5085,84.75,5.92
5090,84.8333333333333,5.87
5095,84.9166666666667,5.82
5100,85,5.78
5105,85.0833333333333,5.73
5110,85.1666666666667,5.68
5115,85.25,5.64
5120,85.3333333333333,5.59
5125,85.4166666666667,5.55
5130,85.5,5.5
5135,85.5833333333333,5.46
5140,85.6666666666667,5.42
5145,85.75,5.37
5150,85.8333333333333,5.33
